"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1219","福壽","市","04/10","","18.9","+0.05","+0.27","342","6.45","18.85","18.9","18.9","18.8","0.53","20.1","1.38","    ","    ","    ","    ","    "
="1220","台榮","市","04/10","","15.3","+0.1","+0.66","274","4.2","15.2","15.25","15.45","15.25","1.32","20.1","1.16","    ","    ","    ","    ","    "
="1225","福懋油","市","04/10","","56.6","-0.1","-0.18","3","0.18","56.7","56.5","56.6","56.5","0.18","35.4","3.7","    ","    ","    ","    ","    "
="1227","佳格","市","04/10","","38.75","+0.05","+0.13","441","17","38.7","38.7","38.75","38.5","0.65","28.7","2.03","    ","    ","    ","    ","    "
="1229","聯華","市","04/10","","68","+0.2","+0.29","658","44.9","67.8","68","68.6","67.9","1.03","25.8","2.35","    ","    ","    ","    ","    "
="1231","聯華食","市","04/10","","97.8","-0.4","-0.41","128","12.6","98.2","98.2","98.5","97.8","0.71","24.9","4.19","    ","    ","    ","    ","    "
="1232","大統益","市","04/10","","146","0","0","40","5.79","146","146","146","145.5","0.34","19.4","4.33","    ","    ","    ","    ","    "
="1233","天仁","市","04/10","","33.85","+0.05","+0.15","12","0.42","33.8","33.95","34.1","33.8","0.89","31.9","2.06","    ","    ","    ","    ","    "
="1234","黑松","市","04/10","","41.9","-0.15","-0.36","237","9.92","42.05","42","42.15","41.85","0.71","17.8","0.9","    ","    ","    ","    ","    "
="1235","興泰","市","04/10","","82.7","-0.2","-0.24","6","0.5","82.9","82.7","82.9","82.7","0.24","75.2","1.75","    ","    ","    ","    ","    "
="1236","宏亞","市","04/10","","23.4","-0.05","-0.21","46","1.07","23.45","23.55","23.6","23","2.56","146","0.84","    ","    ","    ","    ","    "
="1256","鮮活果汁-KY","市","04/10","","233.5","-1","-0.43","4","0.94","234.5","233.5","233.5","233.5","0","18.8","2.09","    ","    ","    ","    ","    "
="1301","台塑","市","04/10","","72","+0.5","+0.7","7,614","548","71.5","71.8","72.4","71.5","1.26","62.6","1.32","    ","    ","    ","    ","    "
="1303","南亞","市","04/10","","58.3","-0.3","-0.51","6,227","364","58.6","58.8","58.9","58.2","1.19","72.9","1.28","    ","    ","    ","    ","    "
="1304","台聚","市","04/10","","16.5","-0.1","-0.6","1,698","28.1","16.6","16.6","16.7","16.45","1.51","","0.76","    ","    ","    ","    ","    "
="1305","華夏","市","04/10","","19.1","+0.1","+0.53","1,643","31.4","19","19","19.25","18.9","1.84","32.4","1.16","    ","    ","    ","    ","    "
="1307","三芳","市","04/10","","29.7","-0.7","-2.3","793","23.9","30.4","30.4","30.45","29.65","2.63","15.5","1.32","    ","    ","    ","    ","    "
="1308","亞聚","市","04/10","","19.75","-0.05","-0.25","766","15.2","19.8","19.75","19.9","19.7","1.01","98.8","0.88","    ","    ","    ","    ","    "
="1309","台達化","市","04/10","","16.15","0","0","510","8.23","16.15","16.2","16.3","16.05","1.55","","0.97","    ","    ","    ","    ","    "
="1310","台苯","市","04/10","","13.5","-0.05","-0.37","460","6.24","13.55","13.55","13.6","13.5","0.74","","1.03","    ","    ","    ","    ","    "
="1312","國喬","市","04/10","","13.7","+0.15","+1.11","1,824","24.9","13.55","13.65","13.75","13.55","1.48","","0.46","    ","    ","    ","    ","    "
"1312A","國喬特","市","04/10","","25.25","-0.15","-0.59","2","0.05","25.4","25.25","25.25","25.25","0","","","    ","    ","    ","    ","    "
